Rating,Price,Original_Price,Discount,Page,Brand,Model,number_of_ratings,number_of_reviews,RAM,Internal_storage
4.2,9999,12499,20%,10,Samsung, Galaxy F06,38028,2243,4,1500
4.3,14990,16999,11%,10,realme, 14x 5G,13817,675,6,128
4.4,23990,23999,20%,10,OnePlus, Nord CE4,36094,1676,8,256
4.4,15323,17999,14%,10,realme, 14x 5G,8284,417,8,128
4.1,9489,12499,24%,10,Samsung, Galaxy A06,2505,149,4,64
4.3,39999,52999,24%,10,Google, Pixel 8a,11263,858,8,128
4.3,16674,22999,27%,10,Samsung, M36 5G,1632,89,6,128
4.4,49999,54999,9%,10,MOTOROLA, Razr 60,1995,143,8,256
4.4,15883,17999,11%,10,realme, 14x 5G,8284,417,8,128
4.6,55999,79999,30%,10,Samsung, Galaxy S24,49029,2702,8,256
4.0,6999,9999,30%,10,Ai, 128 GB,4818,303,6,128
4.3,15148,16999,10%,10,REDMI, 15 5G,1178,72,6,128
4.4,39999,49999,20%,11,Google, Pixel 9A,4870,334,8,256
4.4,39999,49999,20%,11,Google, Pixel 9A,4870,334,8,256
4.5,33721,34999,3%,11,OnePlus, Nord 5,1948,130,8,256
4.5,36730,37999,3%,11,OnePlus, Nord 5,1370,99,12,256
4.5,33739,34999,3%,11,OnePlus, Nord 5,1948,130,8,256
4.4,17999,20999,14%,11,realme, P4 5G,17938,1144,6,128
4.4,39999,49999,20%,11,Google, Pixel 9A,4870,334,8,256
4.5,26999,49999,20%,11,OnePlus, Nord CE5,6204,343,8,256
4.5,26999,49999,20%,11,OnePlus, Nord CE5,6204,343,8,256
4.5,24999,49999,20%,11,OnePlus, Nord CE5,6204,343,8,128
4.6,49999,74999,33%,11,Samsung, Galaxy S24,49029,2702,8,128
4.2,10299,12999,20%,11,REDMI, 128 GB,1547,60,6,128
4.3,15257,16999,10%,11,IQOO, Z10 Lite,2057,94,8,256
4.4,17999,20999,14%,11,realme, P4 5G,17938,1144,6,128
4.4,17999,20999,14%,11,realme, P4 5G,17938,1144,6,128
4.3,11999,14499,17%,11,POCO, C85 5G,75,3,4,128
4.5,39999,59999,33%,11,Samsung, Galaxy S24,72721,4641,8,128
4.5,45999,65999,30%,11,Samsung, Galaxy S24,72721,4641,8,256
4.5,45999,65999,30%,11,Samsung, Galaxy S24,72721,4641,8,256
4.5,29999,34999,14%,11,MOTOROLA, Edge 70,737,87,8,256
4.3,16999,24999,32%,11,POCO, X7 5G,28239,2138,8,128
4.3,13999,16999,17%,11,POCO, M7 Plus,5361,295,6,128
4.2,10999,13999,21%,11,Samsung, Galaxy F06,38028,2243,4,1500
4.2,7397,9999,26%,11,Samsung, Galaxy M07,22,0,4,64
4.6,55999,79999,30%,12,Samsung, Galaxy S24,49029,2702,8,256
4.4,15883,17999,11%,12,realme, 14x 5G,8284,417,8,128
